+----+-------------+----------------+-----------+-------------+-------+-------------+
|    | Package     | Type           |      Corr |           p |   Lag |   scale_var |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           4 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           4 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           4 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           4 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           4 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           5 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           5 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           5 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           5 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           5 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           5 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           5 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           5 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           5 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           5 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           5 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           5 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           5 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           5 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           5 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           5 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           5 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           5 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           5 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           5 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           5 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           5 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           5 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           5 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           5 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           5 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           5 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           5 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           6 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           6 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           6 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           6 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           6 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           6 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           6 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           6 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           6 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           6 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           6 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           6 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           6 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           6 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           6 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           6 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           6 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           6 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           6 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           6 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           6 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           6 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           6 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           6 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           6 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           6 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           6 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           6 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           7 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           7 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           7 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           7 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           7 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           7 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           7 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           7 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           7 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           7 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           7 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           7 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           7 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           7 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           7 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           7 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           7 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           7 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           7 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           7 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           7 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           7 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           7 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           7 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           7 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           7 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           7 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           7 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           8 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           8 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           8 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           8 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           8 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           8 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           8 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           8 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           8 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           8 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           8 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           8 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           8 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           8 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           8 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           8 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           8 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           8 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           8 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           8 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           8 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           8 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           8 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           8 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           8 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           8 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           8 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           8 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |           9 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |           9 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |           9 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |           9 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |           9 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |           9 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |           9 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |           9 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |           9 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |           9 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |           9 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |           9 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |           9 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |           9 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |           9 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |           9 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |           9 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |           9 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |           9 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |           9 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |           9 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |           9 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |           9 |
