+----+-----------------+----------------+---------------+---------------+-------+---------+
|    | Package         | Type           |          Corr |             p |   Lag |   alpha |
|  8 | lmtest          | Point-Biserial |  -0.336295    |   0.000624209 |     5 |      10 |
|  9 | lmtest          | Pearson        |  -0.539182    |   7.13835e-09 |     5 |      10 |
| 10 | lmtest          | Point-Biserial |  -0.317515    |   0.000409791 |     6 |      10 |
| 11 | lmtest          | Pearson        |  -0.529909    |   4.85335e-10 |     6 |      10 |
| 12 | lmtest          | Point-Biserial |  -0.285447    |   0.000629469 |     7 |      10 |
| 13 | lmtest          | Pearson        |  -0.487258    |   1.0273e-09  |     7 |      10 |
|  0 | VLTimeCausality | Point-Biserial |  -0.704996    |   0.000517785 |     1 |      10 |
|  1 | VLTimeCausality | Pearson        |  -0.92189     |   7.72206e-09 |     1 |      10 |
|  2 | VLTimeCausality | Point-Biserial |  -0.419384    |   0.00706521  |     2 |      10 |
|  3 | VLTimeCausality | Pearson        |  -0.606579    |   3.33959e-05 |     2 |      10 |
|  4 | VLTimeCausality | Point-Biserial |  -0.428125    |   0.000644001 |     3 |      10 |
|  5 | VLTimeCausality | Pearson        |  -0.638533    |   4.04015e-08 |     3 |      10 |
|  6 | VLTimeCausality | Point-Biserial |  -0.351881    |   0.00137039  |     4 |      10 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05884e-07 |     4 |      10 |
|  8 | VLTimeCausality | Point-Biserial |  -0.401371    |   3.49336e-05 |     5 |      10 |
|  9 | VLTimeCausality | Pearson        |  -0.623685    |   4.17128e-12 |     5 |      10 |
| 10 | VLTimeCausality | Point-Biserial |  -0.358026    |   5.94838e-05 |     6 |      10 |
| 11 | VLTimeCausality | Pearson        |  -0.569884    |   1.096e-11   |     6 |      10 |
| 12 | VLTimeCausality | Point-Biserial |  -0.358892    |   1.33452e-05 |     7 |      10 |
| 13 | VLTimeCausality | Pearson        |  -0.58905     |   1.92909e-14 |     7 |      10 |
|  0 | NlinTS          | Point-Biserial |   0.232784    |   0.323317    |     1 |      10 |
|  1 | NlinTS          | Pearson        |  -0.0269454   |   0.910218    |     1 |      10 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |      10 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |      10 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |      10 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |      10 |
|  6 | NlinTS          | Point-Biserial | nan           | nan           |     4 |      10 |
|  7 | NlinTS          | Pearson        | nan           | nan           |     4 |      10 |
|  8 | NlinTS          | Point-Biserial |   0.0644459   |   0.524112    |     5 |      10 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |      10 |
| 10 | NlinTS          | Point-Biserial |   0.0774579   |   0.400408    |     6 |      10 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |      10 |
| 12 | NlinTS          | Point-Biserial |   0.0375164   |   0.659882    |     7 |      10 |
| 13 | NlinTS          | Pearson        |  -0.0858933   |   0.312947    |     7 |      10 |
|  0 | statsmodels     | Point-Biserial |  -0.522473    |   0.0181102   |     1 |      12 |
|  1 | statsmodels     | Pearson        |  -0.666647    |   0.00132747  |     1 |      12 |
|  2 | statsmodels     | Point-Biserial |  -0.392204    |   0.0123128   |     2 |      12 |
|  3 | statsmodels     | Pearson        |  -0.513922    |   0.000693885 |     2 |      12 |
|  4 | statsmodels     | Point-Biserial |  -0.354752    |   0.00541633  |     3 |      12 |
|  5 | statsmodels     | Pearson        |  -0.450442    |   0.000304575 |     3 |      12 |
|  6 | statsmodels     | Point-Biserial |  -0.335069    |   0.00238059  |     4 |      12 |
|  7 | statsmodels     | Pearson        |  -0.46982     |   1.09886e-05 |     4 |      12 |
|  8 | statsmodels     | Point-Biserial |  -0.34823     |   0.000384755 |     5 |      12 |
|  9 | statsmodels     | Pearson        |  -0.429419    |   8.26467e-06 |     5 |      12 |
| 10 | statsmodels     | Point-Biserial |  -0.353321    |   7.54612e-05 |     6 |      12 |
| 11 | statsmodels     | Pearson        |  -0.419812    |   1.81413e-06 |     6 |      12 |
| 12 | statsmodels     | Point-Biserial |  -0.344756    |   3.02922e-05 |     7 |      12 |
| 13 | statsmodels     | Pearson        |  -0.341354    |   3.66859e-05 |     7 |      12 |
|  0 | vars            | Point-Biserial |  -0.563877    |   0.00961205  |     1 |      12 |
|  1 | vars            | Pearson        |  -0.729324    |   0.000263502 |     1 |      12 |
|  2 | vars            | Point-Biserial |  -0.428351    |   0.00582388  |     2 |      12 |
|  3 | vars            | Pearson        |  -0.616662    |   2.26323e-05 |     2 |      12 |
|  4 | vars            | Point-Biserial |  -0.323624    |   0.0116581   |     3 |      12 |
|  5 | vars            | Pearson        |  -0.487137    |   7.90859e-05 |     3 |      12 |
|  6 | vars            | Point-Biserial |  -0.311737    |   0.00487952  |     4 |      12 |
|  7 | vars            | Pearson        |  -0.498886    |   2.47683e-06 |     4 |      12 |
|  8 | vars            | Point-Biserial |  -0.336548    |   0.000617946 |     5 |      12 |
|  9 | vars            | Pearson        |  -0.539116    |   7.17473e-09 |     5 |      12 |
| 10 | vars            | Point-Biserial |  -0.317935    |   0.000402208 |     6 |      12 |
| 11 | vars            | Pearson        |  -0.530019    |   4.80633e-10 |     6 |      12 |
| 12 | vars            | Point-Biserial |  -0.285868    |   0.000617423 |     7 |      12 |
| 13 | vars            | Pearson        |  -0.487176    |   1.03485e-09 |     7 |      12 |
|  0 | lmtest          | Point-Biserial |  -0.563974    |   0.00959699  |     1 |      12 |
|  1 | lmtest          | Pearson        |  -0.729416    |   0.000262795 |     1 |      12 |
|  2 | lmtest          | Point-Biserial |  -0.4284      |   0.00581767  |     2 |      12 |
|  3 | lmtest          | Pearson        |  -0.616713    |   2.25865e-05 |     2 |      12 |
|  4 | lmtest          | Point-Biserial |  -0.323672    |   0.011645    |     3 |      12 |
|  5 | lmtest          | Pearson        |  -0.487174    |   7.89724e-05 |     3 |      12 |
|  6 | lmtest          | Point-Biserial |  -0.311758    |   0.00487635  |     4 |      12 |
|  7 | lmtest          | Pearson        |  -0.498882    |   2.47746e-06 |     4 |      12 |
|  8 | lmtest          | Point-Biserial |  -0.336589    |   0.000616938 |     5 |      12 |
|  9 | lmtest          | Pearson        |  -0.539155    |   7.15308e-09 |     5 |      12 |
| 10 | lmtest          | Point-Biserial |  -0.317968    |   0.000401617 |     6 |      12 |
| 11 | lmtest          | Pearson        |  -0.530062    |   4.78823e-10 |     6 |      12 |
| 12 | lmtest          | Point-Biserial |  -0.285913    |   0.000616131 |     7 |      12 |
| 13 | lmtest          | Pearson        |  -0.487236    |   1.02928e-09 |     7 |      12 |
|  0 | VLTimeCausality | Point-Biserial |  -0.705338    |   0.000513129 |     1 |      12 |
|  1 | VLTimeCausality | Pearson        |  -0.922015    |   7.61559e-09 |     1 |      12 |
|  2 | VLTimeCausality | Point-Biserial |  -0.419635    |   0.0070276   |     2 |      12 |
|  3 | VLTimeCausality | Pearson        |  -0.606606    |   3.33617e-05 |     2 |      12 |
|  4 | VLTimeCausality | Point-Biserial |  -0.428392    |   0.000638431 |     3 |      12 |
|  5 | VLTimeCausality | Pearson        |  -0.638545    |   4.03703e-08 |     3 |      12 |
|  6 | VLTimeCausality | Point-Biserial |  -0.352061    |   0.00136212  |     4 |      12 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05884e-07 |     4 |      12 |
|  8 | VLTimeCausality | Point-Biserial |  -0.401534    |   3.46549e-05 |     5 |      12 |
|  9 | VLTimeCausality | Pearson        |  -0.623684    |   4.17169e-12 |     5 |      12 |
| 10 | VLTimeCausality | Point-Biserial |  -0.358184    |   5.9006e-05  |     6 |      12 |
| 11 | VLTimeCausality | Pearson        |  -0.569885    |   1.09588e-11 |     6 |      12 |
| 12 | VLTimeCausality | Point-Biserial |  -0.359056    |   1.3216e-05  |     7 |      12 |
| 13 | VLTimeCausality | Pearson        |  -0.58905     |   1.92891e-14 |     7 |      12 |
|  0 | NlinTS          | Point-Biserial |   0.224829    |   0.34059     |     1 |      12 |
|  1 | NlinTS          | Pearson        |  -0.0204692   |   0.93174     |     1 |      12 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |      12 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |      12 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |      12 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |      12 |
|  6 | NlinTS          | Point-Biserial | nan           | nan           |     4 |      12 |
|  7 | NlinTS          | Pearson        | nan           | nan           |     4 |      12 |
|  8 | NlinTS          | Point-Biserial |   0.0644659   |   0.523983    |     5 |      12 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |      12 |
| 10 | NlinTS          | Point-Biserial |   0.0774811   |   0.400267    |     6 |      12 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |      12 |
| 12 | NlinTS          | Point-Biserial |   0.0395601   |   0.6426      |     7 |      12 |
| 13 | NlinTS          | Pearson        |  -0.0839019   |   0.324339    |     7 |      12 |
|  0 | statsmodels     | Point-Biserial |  -0.522178    |   0.018187    |     1 |      14 |
|  1 | statsmodels     | Pearson        |  -0.666674    |   0.00132666  |     1 |      14 |
|  2 | statsmodels     | Point-Biserial |  -0.392984    |   0.0121256   |     2 |      14 |
|  3 | statsmodels     | Pearson        |  -0.516056    |   0.000653234 |     2 |      14 |
|  4 | statsmodels     | Point-Biserial |  -0.354629    |   0.00543353  |     3 |      14 |
|  5 | statsmodels     | Pearson        |  -0.45216     |   0.000286897 |     3 |      14 |
|  6 | statsmodels     | Point-Biserial |  -0.335041    |   0.00238272  |     4 |      14 |
|  7 | statsmodels     | Pearson        |  -0.470801    |   1.04725e-05 |     4 |      14 |
|  8 | statsmodels     | Point-Biserial |  -0.347789    |   0.000391833 |     5 |      14 |
|  9 | statsmodels     | Pearson        |  -0.431366    |   7.44173e-06 |     5 |      14 |
| 10 | statsmodels     | Point-Biserial |  -0.353237    |   7.57803e-05 |     6 |      14 |
| 11 | statsmodels     | Pearson        |  -0.421533    |   1.62913e-06 |     6 |      14 |
| 12 | statsmodels     | Point-Biserial |  -0.344817    |   3.01885e-05 |     7 |      14 |
| 13 | statsmodels     | Pearson        |  -0.343162    |   3.31455e-05 |     7 |      14 |
|  0 | vars            | Point-Biserial |  -0.564437    |   0.00952484  |     1 |      14 |
|  1 | vars            | Pearson        |  -0.730266    |   0.000256339 |     1 |      14 |
|  2 | vars            | Point-Biserial |  -0.429169    |   0.00572072  |     2 |      14 |
|  3 | vars            | Pearson        |  -0.617637    |   2.17804e-05 |     2 |      14 |
|  4 | vars            | Point-Biserial |  -0.323913    |   0.0115793   |     3 |      14 |
|  5 | vars            | Pearson        |  -0.487167    |   7.89932e-05 |     3 |      14 |
|  6 | vars            | Point-Biserial |  -0.311747    |   0.00487799  |     4 |      14 |
|  7 | vars            | Pearson        |  -0.498748    |   2.4952e-06  |     4 |      14 |
|  8 | vars            | Point-Biserial |  -0.336731    |   0.000613473 |     5 |      14 |
|  9 | vars            | Pearson        |  -0.539095    |   7.18596e-09 |     5 |      14 |
| 10 | vars            | Point-Biserial |  -0.318227    |   0.000397025 |     6 |      14 |
| 11 | vars            | Pearson        |  -0.530133    |   4.75792e-10 |     6 |      14 |
| 12 | vars            | Point-Biserial |  -0.286169    |   0.000608921 |     7 |      14 |
| 13 | vars            | Pearson        |  -0.487165    |   1.03588e-09 |     7 |      14 |
|  0 | lmtest          | Point-Biserial |  -0.564533    |   0.00951004  |     1 |      14 |
|  1 | lmtest          | Pearson        |  -0.730357    |   0.000255654 |     1 |      14 |
|  2 | lmtest          | Point-Biserial |  -0.429218    |   0.00571454  |     2 |      14 |
|  3 | lmtest          | Pearson        |  -0.617689    |   2.17358e-05 |     2 |      14 |
|  4 | lmtest          | Point-Biserial |  -0.323962    |   0.0115661   |     3 |      14 |
|  5 | lmtest          | Pearson        |  -0.487205    |   7.88778e-05 |     3 |      14 |
|  6 | lmtest          | Point-Biserial |  -0.31177     |   0.00487469  |     4 |      14 |
|  7 | lmtest          | Pearson        |  -0.498744    |   2.49577e-06 |     4 |      14 |
|  8 | lmtest          | Point-Biserial |  -0.336774    |   0.000612429 |     5 |      14 |
|  9 | lmtest          | Pearson        |  -0.539135    |   7.16418e-09 |     5 |      14 |
| 10 | lmtest          | Point-Biserial |  -0.318263    |   0.000396392 |     6 |      14 |
| 11 | lmtest          | Pearson        |  -0.530176    |   4.73993e-10 |     6 |      14 |
| 12 | lmtest          | Point-Biserial |  -0.286217    |   0.000607562 |     7 |      14 |
| 13 | lmtest          | Pearson        |  -0.487225    |   1.03031e-09 |     7 |      14 |
|  0 | VLTimeCausality | Point-Biserial |  -0.705565    |   0.000510059 |     1 |      14 |
|  1 | VLTimeCausality | Pearson        |  -0.922104    |   7.54009e-09 |     1 |      14 |
|  2 | VLTimeCausality | Point-Biserial |  -0.419812    |   0.0070012   |     2 |      14 |
|  3 | VLTimeCausality | Pearson        |  -0.606625    |   3.33372e-05 |     2 |      14 |
|  4 | VLTimeCausality | Point-Biserial |  -0.428582    |   0.00063452  |     3 |      14 |
|  5 | VLTimeCausality | Pearson        |  -0.638554    |   4.03482e-08 |     3 |      14 |
|  6 | VLTimeCausality | Point-Biserial |  -0.352189    |   0.00135621  |     4 |      14 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05885e-07 |     4 |      14 |
|  8 | VLTimeCausality | Point-Biserial |  -0.401647    |   3.44624e-05 |     5 |      14 |
|  9 | VLTimeCausality | Pearson        |  -0.623684    |   4.17197e-12 |     5 |      14 |
| 10 | VLTimeCausality | Point-Biserial |  -0.358296    |   5.86713e-05 |     6 |      14 |
| 11 | VLTimeCausality | Pearson        |  -0.569886    |   1.0958e-11  |     6 |      14 |
| 12 | VLTimeCausality | Point-Biserial |  -0.359172    |   1.31256e-05 |     7 |      14 |
| 13 | VLTimeCausality | Pearson        |  -0.589051    |   1.92879e-14 |     7 |      14 |
|  0 | NlinTS          | Point-Biserial |   0.217117    |   0.357838    |     1 |      14 |
|  1 | NlinTS          | Pearson        |  -0.0144379   |   0.951826    |     1 |      14 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |      14 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |      14 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |      14 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |      14 |
|  6 | NlinTS          | Point-Biserial | nan           | nan           |     4 |      14 |
|  7 | NlinTS          | Pearson        | nan           | nan           |     4 |      14 |
|  8 | NlinTS          | Point-Biserial |   0.0644801   |   0.523892    |     5 |      14 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |      14 |
| 10 | NlinTS          | Point-Biserial |   0.0774971   |   0.400169    |     6 |      14 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |      14 |
| 12 | NlinTS          | Point-Biserial |   0.0413444   |   0.627666    |     7 |      14 |
| 13 | NlinTS          | Pearson        |  -0.0819827   |   0.335569    |     7 |      14 |
|  0 | statsmodels     | Point-Biserial |  -0.521961    |   0.0182438   |     1 |      16 |
|  1 | statsmodels     | Pearson        |  -0.666701    |   0.00132584  |     1 |      16 |
|  2 | statsmodels     | Point-Biserial |  -0.393546    |   0.011992    |     2 |      16 |
|  3 | statsmodels     | Pearson        |  -0.517627    |   0.000624685 |     2 |      16 |
|  4 | statsmodels     | Point-Biserial |  -0.354518    |   0.00544921  |     3 |      16 |
|  5 | statsmodels     | Pearson        |  -0.45343     |   0.000274433 |     3 |      16 |
|  6 | statsmodels     | Point-Biserial |  -0.335001    |   0.00238574  |     4 |      16 |
|  7 | statsmodels     | Pearson        |  -0.471529    |   1.01044e-05 |     4 |      16 |
|  8 | statsmodels     | Point-Biserial |  -0.347444    |   0.00039746  |     5 |      16 |
|  9 | statsmodels     | Pearson        |  -0.432819    |   6.8785e-06  |     5 |      16 |
| 10 | statsmodels     | Point-Biserial |  -0.353153    |   7.60973e-05 |     6 |      16 |
| 11 | statsmodels     | Pearson        |  -0.422828    |   1.50185e-06 |     6 |      16 |
| 12 | statsmodels     | Point-Biserial |  -0.344843    |   3.01449e-05 |     7 |      16 |
| 13 | statsmodels     | Pearson        |  -0.344527    |   3.06874e-05 |     7 |      16 |
|  0 | vars            | Point-Biserial |  -0.564873    |   0.00945742  |     1 |      16 |
|  1 | vars            | Pearson        |  -0.730994    |   0.000250915 |     1 |      16 |
|  2 | vars            | Point-Biserial |  -0.429782    |   0.0056444   |     2 |      16 |
|  3 | vars            | Pearson        |  -0.618373    |   2.11581e-05 |     2 |      16 |
|  4 | vars            | Point-Biserial |  -0.324126    |   0.0115216   |     3 |      16 |
|  5 | vars            | Pearson        |  -0.487185    |   7.89371e-05 |     3 |      16 |
|  6 | vars            | Point-Biserial |  -0.311748    |   0.00487782  |     4 |      16 |
|  7 | vars            | Pearson        |  -0.498643    |   2.50942e-06 |     4 |      16 |
|  8 | vars            | Point-Biserial |  -0.336855    |   0.000610459 |     5 |      16 |
|  9 | vars            | Pearson        |  -0.539079    |   7.1949e-09  |     5 |      16 |
| 10 | vars            | Point-Biserial |  -0.31843     |   0.000393441 |     6 |      16 |
| 11 | vars            | Pearson        |  -0.530221    |   4.72083e-10 |     6 |      16 |
| 12 | vars            | Point-Biserial |  -0.28638     |   0.000603016 |     7 |      16 |
| 13 | vars            | Pearson        |  -0.487159    |   1.03648e-09 |     7 |      16 |
|  0 | lmtest          | Point-Biserial |  -0.564968    |   0.00944283  |     1 |      16 |
|  1 | lmtest          | Pearson        |  -0.731085    |   0.000250246 |     1 |      16 |
|  2 | lmtest          | Point-Biserial |  -0.429832    |   0.00563825  |     2 |      16 |
|  3 | lmtest          | Pearson        |  -0.618425    |   2.11144e-05 |     2 |      16 |
|  4 | lmtest          | Point-Biserial |  -0.324176    |   0.0115083   |     3 |      16 |
|  5 | lmtest          | Pearson        |  -0.487223    |   7.88202e-05 |     3 |      16 |
|  6 | lmtest          | Point-Biserial |  -0.311772    |   0.00487443  |     4 |      16 |
|  7 | lmtest          | Pearson        |  -0.498639    |   2.50993e-06 |     4 |      16 |
|  8 | lmtest          | Point-Biserial |  -0.336899    |   0.000609389 |     5 |      16 |
|  9 | lmtest          | Pearson        |  -0.539119    |   7.173e-09   |     5 |      16 |
| 10 | lmtest          | Point-Biserial |  -0.318468    |   0.000392777 |     6 |      16 |
| 11 | lmtest          | Pearson        |  -0.530264    |   4.70291e-10 |     6 |      16 |
| 12 | lmtest          | Point-Biserial |  -0.286431    |   0.000601608 |     7 |      16 |
| 13 | lmtest          | Pearson        |  -0.487219    |   1.03091e-09 |     7 |      16 |
|  0 | VLTimeCausality | Point-Biserial |  -0.705726    |   0.000507886 |     1 |      16 |
|  1 | VLTimeCausality | Pearson        |  -0.922171    |   7.48388e-09 |     1 |      16 |
|  2 | VLTimeCausality | Point-Biserial |  -0.419944    |   0.00698158  |     2 |      16 |
|  3 | VLTimeCausality | Pearson        |  -0.60664     |   3.33188e-05 |     2 |      16 |
|  4 | VLTimeCausality | Point-Biserial |  -0.428723    |   0.000631616 |     3 |      16 |
|  5 | VLTimeCausality | Pearson        |  -0.63856     |   4.03318e-08 |     3 |      16 |
|  6 | VLTimeCausality | Point-Biserial |  -0.352287    |   0.00135176  |     4 |      16 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05885e-07 |     4 |      16 |
|  8 | VLTimeCausality | Point-Biserial |  -0.40173     |   3.4321e-05  |     5 |      16 |
|  9 | VLTimeCausality | Pearson        |  -0.623683    |   4.17218e-12 |     5 |      16 |
| 10 | VLTimeCausality | Point-Biserial |  -0.358379    |   5.84226e-05 |     6 |      16 |
| 11 | VLTimeCausality | Pearson        |  -0.569886    |   1.09574e-11 |     6 |      16 |
| 12 | VLTimeCausality | Point-Biserial |  -0.359258    |   1.30586e-05 |     7 |      16 |
| 13 | VLTimeCausality | Pearson        |  -0.589051    |   1.92869e-14 |     7 |      16 |
|  0 | NlinTS          | Point-Biserial |   0.207995    |   0.378876    |     1 |      16 |
|  1 | NlinTS          | Pearson        |  -0.00703809  |   0.976507    |     1 |      16 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |      16 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |      16 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |      16 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |      16 |
|  6 | NlinTS          | Point-Biserial | nan           | nan           |     4 |      16 |
|  7 | NlinTS          | Pearson        | nan           | nan           |     4 |      16 |
|  8 | NlinTS          | Point-Biserial |   0.0644909   |   0.523822    |     5 |      16 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |      16 |
| 10 | NlinTS          | Point-Biserial |   0.0775089   |   0.400098    |     6 |      16 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |      16 |
| 12 | NlinTS          | Point-Biserial |   0.0429007   |   0.614761    |     7 |      16 |
| 13 | NlinTS          | Pearson        |  -0.080166    |   0.346424    |     7 |      16 |
|  0 | statsmodels     | Point-Biserial |  -0.521795    |   0.0182875   |     1 |      18 |
|  1 | statsmodels     | Pearson        |  -0.666726    |   0.00132509  |     1 |      18 |
|  2 | statsmodels     | Point-Biserial |  -0.393971    |   0.0118919   |     2 |      18 |
|  3 | statsmodels     | Pearson        |  -0.51883     |   0.000603569 |     2 |      18 |
|  4 | statsmodels     | Point-Biserial |  -0.35442     |   0.005463    |     3 |      18 |
|  5 | statsmodels     | Pearson        |  -0.454407    |   0.000265187 |     3 |      18 |
|  6 | statsmodels     | Point-Biserial |  -0.33496     |   0.00238889  |     4 |      18 |
|  7 | statsmodels     | Pearson        |  -0.47209     |   9.82879e-06 |     4 |      18 |
|  8 | statsmodels     | Point-Biserial |  -0.347167    |   0.000402022 |     5 |      18 |
|  9 | statsmodels     | Pearson        |  -0.433944    |   6.47011e-06 |     5 |      18 |
| 10 | statsmodels     | Point-Biserial |  -0.353077    |   7.63888e-05 |     6 |      18 |
| 11 | statsmodels     | Pearson        |  -0.423838    |   1.40925e-06 |     6 |      18 |
| 12 | statsmodels     | Point-Biserial |  -0.344851    |   3.01306e-05 |     7 |      18 |
| 13 | statsmodels     | Pearson        |  -0.345595    |   2.88865e-05 |     7 |      18 |
|  0 | vars            | Point-Biserial |  -0.565221    |   0.00940389  |     1 |      18 |
|  1 | vars            | Pearson        |  -0.731573    |   0.000246676 |     1 |      18 |
|  2 | vars            | Point-Biserial |  -0.430259    |   0.00558563  |     2 |      18 |
|  3 | vars            | Pearson        |  -0.618946    |   2.06839e-05 |     2 |      18 |
|  4 | vars            | Point-Biserial |  -0.32429     |   0.0114774   |     3 |      18 |
|  5 | vars            | Pearson        |  -0.487197    |   7.89014e-05 |     3 |      18 |
|  6 | vars            | Point-Biserial |  -0.311746    |   0.0048782   |     4 |      18 |
|  7 | vars            | Pearson        |  -0.498559    |   2.52073e-06 |     4 |      18 |
|  8 | vars            | Point-Biserial |  -0.336944    |   0.000608303 |     5 |      18 |
|  9 | vars            | Pearson        |  -0.539065    |   7.20224e-09 |     5 |      18 |
| 10 | vars            | Point-Biserial |  -0.31858     |   0.00039082  |     6 |      18 |
| 11 | vars            | Pearson        |  -0.530291    |   4.69159e-10 |     6 |      18 |
| 12 | vars            | Point-Biserial |  -0.286537    |   0.000598681 |     7 |      18 |
| 13 | vars            | Pearson        |  -0.487155    |   1.03686e-09 |     7 |      18 |
|  0 | lmtest          | Point-Biserial |  -0.565315    |   0.00938945  |     1 |      18 |
|  1 | lmtest          | Pearson        |  -0.731663    |   0.000246019 |     1 |      18 |
|  2 | lmtest          | Point-Biserial |  -0.430309    |   0.00557951  |     2 |      18 |
|  3 | lmtest          | Pearson        |  -0.618999    |   2.06408e-05 |     2 |      18 |
|  4 | lmtest          | Point-Biserial |  -0.32434     |   0.011464    |     3 |      18 |
|  5 | lmtest          | Pearson        |  -0.487235    |   7.87832e-05 |     3 |      18 |
|  6 | lmtest          | Point-Biserial |  -0.31177     |   0.00487474  |     4 |      18 |
|  7 | lmtest          | Pearson        |  -0.498555    |   2.5212e-06  |     4 |      18 |
|  8 | lmtest          | Point-Biserial |  -0.336989    |   0.000607214 |     5 |      18 |
|  9 | lmtest          | Pearson        |  -0.539106    |   7.18024e-09 |     5 |      18 |
| 10 | lmtest          | Point-Biserial |  -0.31862     |   0.000390134 |     6 |      18 |
| 11 | lmtest          | Pearson        |  -0.530334    |   4.67373e-10 |     6 |      18 |
| 12 | lmtest          | Point-Biserial |  -0.286589    |   0.000597238 |     7 |      18 |
| 13 | lmtest          | Pearson        |  -0.487215    |   1.03129e-09 |     7 |      18 |
|  0 | VLTimeCausality | Point-Biserial |  -0.705846    |   0.000506269 |     1 |      18 |
|  1 | VLTimeCausality | Pearson        |  -0.922223    |   7.44045e-09 |     1 |      18 |
|  2 | VLTimeCausality | Point-Biserial |  -0.420046    |   0.00696639  |     2 |      18 |
|  3 | VLTimeCausality | Pearson        |  -0.606651    |   3.33045e-05 |     2 |      18 |
|  4 | VLTimeCausality | Point-Biserial |  -0.428833    |   0.00062937  |     3 |      18 |
|  5 | VLTimeCausality | Pearson        |  -0.638565    |   4.03191e-08 |     3 |      18 |
|  6 | VLTimeCausality | Point-Biserial |  -0.352363    |   0.00134827  |     4 |      18 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05885e-07 |     4 |      18 |
|  8 | VLTimeCausality | Point-Biserial |  -0.401795    |   3.42123e-05 |     5 |      18 |
|  9 | VLTimeCausality | Pearson        |  -0.623683    |   4.17234e-12 |     5 |      18 |
| 10 | VLTimeCausality | Point-Biserial |  -0.358444    |   5.82301e-05 |     6 |      18 |
| 11 | VLTimeCausality | Pearson        |  -0.569887    |   1.0957e-11  |     6 |      18 |
| 12 | VLTimeCausality | Point-Biserial |  -0.359325    |   1.30067e-05 |     7 |      18 |
| 13 | VLTimeCausality | Pearson        |  -0.589052    |   1.92862e-14 |     7 |      18 |
|  0 | NlinTS          | Point-Biserial |   0.196508    |   0.406332    |     1 |      18 |
|  1 | NlinTS          | Pearson        |  -0.0049655   |   0.983424    |     1 |      18 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |      18 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |      18 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |      18 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |      18 |
|  6 | NlinTS          | Point-Biserial | nan           | nan           |     4 |      18 |
|  7 | NlinTS          | Pearson        | nan           | nan           |     4 |      18 |
|  8 | NlinTS          | Point-Biserial |   0.0644994   |   0.523767    |     5 |      18 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |      18 |
| 10 | NlinTS          | Point-Biserial |   0.0775179   |   0.400042    |     6 |      18 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |      18 |
| 12 | NlinTS          | Point-Biserial |   0.0442601   |   0.603585    |     7 |      18 |
| 13 | NlinTS          | Pearson        |  -0.0784644   |   0.356788    |     7 |      18 |
|  0 | statsmodels     | Point-Biserial |  -0.521663    |   0.0183222   |     1 |      20 |
|  1 | statsmodels     | Pearson        |  -0.666748    |   0.00132441  |     1 |      20 |
|  2 | statsmodels     | Point-Biserial |  -0.394303    |   0.0118142   |     2 |      20 |
|  3 | statsmodels     | Pearson        |  -0.519781    |   0.000587335 |     2 |      20 |
|  4 | statsmodels     | Point-Biserial |  -0.354335    |   0.00547501  |     3 |      20 |
