+----+-----------------+------------+-------+---------+
|    | Package         |   Accuracy |   Lag |   alpha |
|  0 | lmtest          |       0.95 |     1 |       6 |
|  1 | lmtest          |       0.95 |     2 |       6 |
|  2 | lmtest          |       0.9  |     3 |       6 |
|  3 | lmtest          |       0.8  |     4 |       6 |
|  4 | lmtest          |       0.8  |     5 |       6 |
|  5 | lmtest          |       0.8  |     6 |       6 |
|  6 | lmtest          |       0.85 |     7 |       6 |
|  0 | VLTimeCausality |       1    |     1 |       6 |
|  1 | VLTimeCausality |       1    |     2 |       6 |
|  2 | VLTimeCausality |       1    |     3 |       6 |
|  3 | VLTimeCausality |       0.95 |     4 |       6 |
|  4 | VLTimeCausality |       0.95 |     5 |       6 |
|  5 | VLTimeCausality |       0.95 |     6 |       6 |
|  6 | VLTimeCausality |       0.95 |     7 |       6 |
|  0 | NlinTS          |       0.5  |     1 |       6 |
|  1 | NlinTS          |       0.5  |     2 |       6 |
|  2 | NlinTS          |       0.5  |     3 |       6 |
|  3 | NlinTS          |       0.5  |     4 |       6 |
|  4 | NlinTS          |       0.5  |     5 |       6 |
|  5 | NlinTS          |       0.5  |     6 |       6 |
|  6 | NlinTS          |       0.5  |     7 |       6 |
|  0 | statsmodels     |       0.85 |     1 |       8 |
|  1 | statsmodels     |       0.85 |     2 |       8 |
|  2 | statsmodels     |       0.8  |     3 |       8 |
|  3 | statsmodels     |       0.75 |     4 |       8 |
|  4 | statsmodels     |       0.65 |     5 |       8 |
|  5 | statsmodels     |       0.7  |     6 |       8 |
|  6 | statsmodels     |       0.65 |     7 |       8 |
|  0 | vars            |       0.95 |     1 |       8 |
|  1 | vars            |       0.95 |     2 |       8 |
|  2 | vars            |       0.9  |     3 |       8 |
|  3 | vars            |       0.8  |     4 |       8 |
|  4 | vars            |       0.8  |     5 |       8 |
|  5 | vars            |       0.8  |     6 |       8 |
|  6 | vars            |       0.85 |     7 |       8 |
|  0 | lmtest          |       0.95 |     1 |       8 |
|  1 | lmtest          |       0.95 |     2 |       8 |
|  2 | lmtest          |       0.9  |     3 |       8 |
|  3 | lmtest          |       0.8  |     4 |       8 |
|  4 | lmtest          |       0.8  |     5 |       8 |
|  5 | lmtest          |       0.8  |     6 |       8 |
|  6 | lmtest          |       0.85 |     7 |       8 |
|  0 | VLTimeCausality |       1    |     1 |       8 |
|  1 | VLTimeCausality |       1    |     2 |       8 |
|  2 | VLTimeCausality |       1    |     3 |       8 |
|  3 | VLTimeCausality |       0.95 |     4 |       8 |
|  4 | VLTimeCausality |       0.95 |     5 |       8 |
|  5 | VLTimeCausality |       0.95 |     6 |       8 |
|  6 | VLTimeCausality |       0.95 |     7 |       8 |
|  0 | NlinTS          |       0.5  |     1 |       8 |
|  1 | NlinTS          |       0.5  |     2 |       8 |
|  2 | NlinTS          |       0.5  |     3 |       8 |
|  3 | NlinTS          |       0.5  |     4 |       8 |
|  4 | NlinTS          |       0.5  |     5 |       8 |
|  5 | NlinTS          |       0.5  |     6 |       8 |
|  6 | NlinTS          |       0.5  |     7 |       8 |
|  0 | statsmodels     |       0.85 |     1 |      10 |
|  1 | statsmodels     |       0.85 |     2 |      10 |
|  2 | statsmodels     |       0.8  |     3 |      10 |
|  3 | statsmodels     |       0.8  |     4 |      10 |
|  4 | statsmodels     |       0.65 |     5 |      10 |
