+----+-----------------+----------------+--------------+-------------+-------+--------+
|    | Package         | Type           |         Corr |           p |   Lag |   beta |
| 12 | statsmodels     | Point-Biserial | -0.224154    | 0.00775811  |     7 |     20 |
| 13 | statsmodels     | Pearson        | -0.297973    | 0.00034938  |     7 |     20 |
|  0 | vars            | Point-Biserial | -0.527406    | 0.0168607   |     1 |     20 |
|  1 | vars            | Pearson        | -0.59742     | 0.0054101   |     1 |     20 |
|  2 | vars            | Point-Biserial | -0.350739    | 0.0264903   |     2 |     20 |
|  3 | vars            | Pearson        | -0.496122    | 0.00113106  |     2 |     20 |
|  4 | vars            | Point-Biserial | -0.276877    | 0.0322237   |     3 |     20 |
|  5 | vars            | Pearson        | -0.49084     | 6.84274e-05 |     3 |     20 |
|  6 | vars            | Point-Biserial | -0.270305    | 0.0153102   |     4 |     20 |
|  7 | vars            | Pearson        | -0.515602    | 9.86251e-07 |     4 |     20 |
|  8 | vars            | Point-Biserial | -0.262248    | 0.00839373  |     5 |     20 |
|  9 | vars            | Pearson        | -0.516192    | 3.86471e-08 |     5 |     20 |
| 10 | vars            | Point-Biserial | -0.254371    | 0.00505348  |     6 |     20 |
| 11 | vars            | Pearson        | -0.536564    | 2.67184e-10 |     6 |     20 |
| 12 | vars            | Point-Biserial | -0.180772    | 0.0325664   |     7 |     20 |
| 13 | vars            | Pearson        | -0.472157    | 3.87767e-09 |     7 |     20 |
|  0 | lmtest          | Point-Biserial | -0.527453    | 0.0168492   |     1 |     20 |
|  1 | lmtest          | Pearson        | -0.59745     | 0.00540721  |     1 |     20 |
|  2 | lmtest          | Point-Biserial | -0.350785    | 0.0264691   |     2 |     20 |
|  3 | lmtest          | Pearson        | -0.496181    | 0.00112929  |     2 |     20 |
|  4 | lmtest          | Point-Biserial | -0.276854    | 0.0322383   |     3 |     20 |
|  5 | lmtest          | Pearson        | -0.490826    | 6.84661e-05 |     3 |     20 |
|  6 | lmtest          | Point-Biserial | -0.270249    | 0.0153323   |     4 |     20 |
|  7 | lmtest          | Pearson        | -0.515569    | 9.88094e-07 |     4 |     20 |
|  8 | lmtest          | Point-Biserial | -0.262178    | 0.00841177  |     5 |     20 |
|  9 | lmtest          | Pearson        | -0.516145    | 3.87751e-08 |     5 |     20 |
| 10 | lmtest          | Point-Biserial | -0.254285    | 0.00506898  |     6 |     20 |
| 11 | lmtest          | Pearson        | -0.536509    | 2.68508e-10 |     6 |     20 |
| 12 | lmtest          | Point-Biserial | -0.180651    | 0.0326849   |     7 |     20 |
| 13 | lmtest          | Pearson        | -0.47204     | 3.91694e-09 |     7 |     20 |
|  0 | VLTimeCausality | Point-Biserial | -0.562989    | 0.00975168  |     1 |     20 |
|  1 | VLTimeCausality | Pearson        | -0.679517    | 0.000982553 |     1 |     20 |
|  2 | VLTimeCausality | Point-Biserial | -0.334538    | 0.0348645   |     2 |     20 |
|  3 | VLTimeCausality | Pearson        | -0.471775    | 0.00211769  |     2 |     20 |
|  4 | VLTimeCausality | Point-Biserial | -0.252859    | 0.0512666   |     3 |     20 |
|  5 | VLTimeCausality | Pearson        | -0.356113    | 0.00522868  |     3 |     20 |
|  6 | VLTimeCausality | Point-Biserial | -0.32225     | 0.00355554  |     4 |     20 |
|  7 | VLTimeCausality | Pearson        | -0.404072    | 0.000201541 |     4 |     20 |
|  8 | VLTimeCausality | Point-Biserial | -0.34809     | 0.000386997 |     5 |     20 |
|  9 | VLTimeCausality | Pearson        | -0.449985    | 2.63931e-06 |     5 |     20 |
| 10 | VLTimeCausality | Point-Biserial | -0.35916     | 5.61385e-05 |     6 |     20 |
| 11 | VLTimeCausality | Pearson        | -0.394108    | 8.44129e-06 |     6 |     20 |
| 12 | VLTimeCausality | Point-Biserial | -0.369825    | 6.88891e-06 |     7 |     20 |
| 13 | VLTimeCausality | Pearson        | -0.406108    | 6.41448e-07 |     7 |     20 |
|  0 | NlinTS          | Point-Biserial |  0.0943196   | 0.692449    |     1 |     20 |
|  1 | NlinTS          | Pearson        | -0.0855777   | 0.719796    |     1 |     20 |
|  2 | NlinTS          | Point-Biserial |  0.180177    | 0.265905    |     2 |     20 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |     20 |
|  4 | NlinTS          | Point-Biserial |  0.0814262   | 0.536256    |     3 |     20 |
|  5 | NlinTS          | Pearson        |  0.0894114   | 0.496903    |     3 |     20 |
|  6 | NlinTS          | Point-Biserial |  0.066805    | 0.556011    |     4 |     20 |
|  7 | NlinTS          | Pearson        |  0           | 1           |     4 |     20 |
|  8 | NlinTS          | Point-Biserial |  0.0871763   | 0.388442    |     5 |     20 |
|  9 | NlinTS          | Pearson        |  0.0458857   | 0.650313    |     5 |     20 |
| 10 | NlinTS          | Point-Biserial |  0.097043    | 0.291692    |     6 |     20 |
| 11 | NlinTS          | Pearson        |  0.0768482   | 0.404138    |     6 |     20 |
| 12 | NlinTS          | Point-Biserial |  0.0664899   | 0.435079    |     7 |     20 |
| 13 | NlinTS          | Pearson        | -0.066016    | 0.438366    |     7 |     20 |
+----+-----------------+----------------+--------------+-------------+-------+--------+
