+----+-----------------+----------------+--------------+-------------+-------+--------+
|    | Package         | Type           |         Corr |           p |   Lag |   beta |
|  0 | statsmodels     | Point-Biserial | -0.569868    | 0.00871194  |     1 |      6 |
|  1 | statsmodels     | Pearson        | -0.708443    | 0.000472434 |     1 |      6 |
|  2 | statsmodels     | Point-Biserial | -0.314611    | 0.0480181   |     2 |      6 |
|  3 | statsmodels     | Pearson        | -0.411843    | 0.00827952  |     2 |      6 |
|  4 | statsmodels     | Point-Biserial | -0.310765    | 0.0156617   |     3 |      6 |
|  5 | statsmodels     | Pearson        | -0.389453    | 0.0021004   |     3 |      6 |
|  6 | statsmodels     | Point-Biserial | -0.290924    | 0.00884369  |     4 |      6 |
|  7 | statsmodels     | Pearson        | -0.429501    | 7.019e-05   |     4 |      6 |
|  8 | statsmodels     | Point-Biserial | -0.312994    | 0.00152099  |     5 |      6 |
|  9 | statsmodels     | Pearson        | -0.354206    | 0.000299793 |     5 |      6 |
| 10 | statsmodels     | Point-Biserial | -0.299806    | 0.000878798 |     6 |      6 |
| 11 | statsmodels     | Pearson        | -0.36958     | 3.26372e-05 |     6 |      6 |
| 12 | statsmodels     | Point-Biserial | -0.282262    | 0.000728027 |     7 |      6 |
| 13 | statsmodels     | Pearson        | -0.293625    | 0.00042991  |     7 |      6 |
|  0 | vars            | Point-Biserial | -0.588774    | 0.00631054  |     1 |      6 |
|  1 | vars            | Pearson        | -0.744527    | 0.000166531 |     1 |      6 |
|  2 | vars            | Point-Biserial | -0.322925    | 0.0421128   |     2 |      6 |
|  3 | vars            | Pearson        | -0.477821    | 0.00182002  |     2 |      6 |
|  4 | vars            | Point-Biserial | -0.293763    | 0.0227187   |     3 |      6 |
|  5 | vars            | Pearson        | -0.4886      | 7.47042e-05 |     3 |      6 |
|  6 | vars            | Point-Biserial | -0.283169    | 0.0109215   |     4 |      6 |
|  7 | vars            | Pearson        | -0.512311    | 1.18688e-06 |     4 |      6 |
|  8 | vars            | Point-Biserial | -0.281309    | 0.00457951  |     5 |      6 |
|  9 | vars            | Pearson        | -0.540653    | 6.37942e-09 |     5 |      6 |
| 10 | vars            | Point-Biserial | -0.255671    | 0.00482609  |     6 |      6 |
| 11 | vars            | Pearson        | -0.531912    | 4.06093e-10 |     6 |      6 |
| 12 | vars            | Point-Biserial | -0.216041    | 0.0103572   |     7 |      6 |
| 13 | vars            | Pearson        | -0.496771    | 4.3014e-10  |     7 |      6 |
|  0 | lmtest          | Point-Biserial | -0.588858    | 0.00630126  |     1 |      6 |
|  1 | lmtest          | Pearson        | -0.744583    | 0.000166239 |     1 |      6 |
|  2 | lmtest          | Point-Biserial | -0.322914    | 0.04212     |     2 |      6 |
|  3 | lmtest          | Pearson        | -0.477856    | 0.00181839  |     2 |      6 |
|  4 | lmtest          | Point-Biserial | -0.293737    | 0.0227316   |     3 |      6 |
|  5 | lmtest          | Pearson        | -0.488628    | 7.46241e-05 |     3 |      6 |
|  6 | lmtest          | Point-Biserial | -0.283123    | 0.0109349   |     4 |      6 |
|  7 | lmtest          | Pearson        | -0.512296    | 1.18787e-06 |     4 |      6 |
|  8 | lmtest          | Point-Biserial | -0.281242    | 0.00458963  |     5 |      6 |
|  9 | lmtest          | Pearson        | -0.54067     | 6.37133e-09 |     5 |      6 |
| 10 | lmtest          | Point-Biserial | -0.255533    | 0.00484969  |     6 |      6 |
| 11 | lmtest          | Pearson        | -0.531921    | 4.0577e-10  |     6 |      6 |
| 12 | lmtest          | Point-Biserial | -0.215883    | 0.0104147   |     7 |      6 |
| 13 | lmtest          | Pearson        | -0.496783    | 4.29657e-10 |     7 |      6 |
|  0 | VLTimeCausality | Point-Biserial | -0.69704     | 0.00063678  |     1 |      6 |
|  1 | VLTimeCausality | Pearson        | -0.916174    | 1.42739e-08 |     1 |      6 |
|  2 | VLTimeCausality | Point-Biserial | -0.430989    | 0.00549675  |     2 |      6 |
|  3 | VLTimeCausality | Pearson        | -0.60558     | 3.46832e-05 |     2 |      6 |
|  4 | VLTimeCausality | Point-Biserial | -0.383441    | 0.00249335  |     3 |      6 |
|  5 | VLTimeCausality | Pearson        | -0.435717    | 0.000502035 |     3 |      6 |
|  6 | VLTimeCausality | Point-Biserial | -0.345672    | 0.00168637  |     4 |      6 |
|  7 | VLTimeCausality | Pearson        | -0.401691    | 0.000221523 |     4 |      6 |
|  8 | VLTimeCausality | Point-Biserial | -0.384114    | 7.96972e-05 |     5 |      6 |
|  9 | VLTimeCausality | Pearson        | -0.462441    | 1.27395e-06 |     5 |      6 |
| 10 | VLTimeCausality | Point-Biserial | -0.336468    | 0.00017168  |     6 |      6 |
| 11 | VLTimeCausality | Pearson        | -0.401813    | 5.39535e-06 |     6 |      6 |
| 12 | VLTimeCausality | Point-Biserial | -0.340755    | 3.79351e-05 |     7 |      6 |
| 13 | VLTimeCausality | Pearson        | -0.415748    | 3.25129e-07 |     7 |      6 |
|  0 | NlinTS          | Point-Biserial |  0.201471    | 0.394339    |     1 |      6 |
|  1 | NlinTS          | Pearson        | -0.134333    | 0.572317    |     1 |      6 |
|  2 | NlinTS          | Point-Biserial |  0.160992    | 0.320999    |     2 |      6 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |      6 |
|  4 | NlinTS          | Point-Biserial |  0.0577342   | 0.661266    |     3 |      6 |
|  5 | NlinTS          | Pearson        |  0.0865408   | 0.510875    |     3 |      6 |
|  6 | NlinTS          | Point-Biserial |  0.0441357   | 0.69747     |     4 |      6 |
|  7 | NlinTS          | Pearson        | -3.46945e-18 | 1           |     4 |      6 |
|  8 | NlinTS          | Point-Biserial |  0.0675994   | 0.503968    |     5 |      6 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |      6 |
| 10 | NlinTS          | Point-Biserial |  0.0369519   | 0.68865     |     6 |      6 |
| 11 | NlinTS          | Pearson        | -0.0522819   | 0.570637    |     6 |      6 |
| 12 | NlinTS          | Point-Biserial | -0.158504    | 0.0614188   |     7 |      6 |
| 13 | NlinTS          | Pearson        | -0.147897    | 0.0811845   |     7 |      6 |
|  0 | statsmodels     | Point-Biserial | -0.579547    | 0.00740361  |     1 |      8 |
|  1 | statsmodels     | Pearson        | -0.710389    | 0.000448352 |     1 |      8 |
|  2 | statsmodels     | Point-Biserial | -0.303543    | 0.0568977   |     2 |      8 |
|  3 | statsmodels     | Pearson        | -0.4085      | 0.00887255  |     2 |      8 |
|  4 | statsmodels     | Point-Biserial | -0.299508    | 0.0200814   |     3 |      8 |
|  5 | statsmodels     | Pearson        | -0.393102    | 0.00188982  |     3 |      8 |
|  6 | statsmodels     | Point-Biserial | -0.28283     | 0.0110213   |     4 |      8 |
|  7 | statsmodels     | Pearson        | -0.427876    | 7.52758e-05 |     4 |      8 |
|  8 | statsmodels     | Point-Biserial | -0.297738    | 0.00262548  |     5 |      8 |
|  9 | statsmodels     | Pearson        | -0.348208    | 0.000385116 |     5 |      8 |
| 10 | statsmodels     | Point-Biserial | -0.285854    | 0.00155134  |     6 |      8 |
| 11 | statsmodels     | Pearson        | -0.370224    | 3.15418e-05 |     6 |      8 |
| 12 | statsmodels     | Point-Biserial | -0.265416    | 0.00152792  |     7 |      8 |
| 13 | statsmodels     | Pearson        | -0.295046    | 0.000401874 |     7 |      8 |
|  0 | vars            | Point-Biserial | -0.590587    | 0.00611215  |     1 |      8 |
|  1 | vars            | Pearson        | -0.735143    | 0.000221853 |     1 |      8 |
|  2 | vars            | Point-Biserial | -0.296878    | 0.0628473   |     2 |      8 |
|  3 | vars            | Pearson        | -0.437057    | 0.0048039   |     2 |      8 |
|  4 | vars            | Point-Biserial | -0.288266    | 0.025511    |     3 |      8 |
|  5 | vars            | Pearson        | -0.493803    | 6.08717e-05 |     3 |      8 |
|  6 | vars            | Point-Biserial | -0.275926    | 0.0132339   |     4 |      8 |
|  7 | vars            | Pearson        | -0.516206    | 9.53125e-07 |     4 |      8 |
|  8 | vars            | Point-Biserial | -0.268143    | 0.00699032  |     5 |      8 |
|  9 | vars            | Pearson        | -0.537638    | 8.02806e-09 |     5 |      8 |
| 10 | vars            | Point-Biserial | -0.241686    | 0.00782861  |     6 |      8 |
| 11 | vars            | Pearson        | -0.531236    | 4.31311e-10 |     6 |      8 |
| 12 | vars            | Point-Biserial | -0.196047    | 0.020263    |     7 |      8 |
| 13 | vars            | Pearson        | -0.496506    | 4.40855e-10 |     7 |      8 |
|  0 | lmtest          | Point-Biserial | -0.590663    | 0.00610402  |     1 |      8 |
|  1 | lmtest          | Pearson        | -0.735191    | 0.000221533 |     1 |      8 |
|  2 | lmtest          | Point-Biserial | -0.296866    | 0.0628586   |     2 |      8 |
