+----+-------------+----------------+------------+-------------+-------+-------------+
|    | Package     | Type           |       Corr |           p |   Lag |   scale_cov |
|  9 | statsmodels | Pearson        | -0.47659   | 5.37482e-07 |     5 |          60 |
| 10 | statsmodels | Point-Biserial | -0.145791  | 0.112094    |     6 |          60 |
| 11 | statsmodels | Pearson        | -0.590415  | 1.27292e-12 |     6 |          60 |
| 12 | statsmodels | Point-Biserial | -0.140119  | 0.0986968   |     7 |          60 |
| 13 | statsmodels | Pearson        | -0.546853  | 2.7468e-12  |     7 |          60 |
|  0 | vars        | Point-Biserial | -0.222466  | 0.345821    |     1 |          60 |
|  1 | vars        | Pearson        | -0.411619  | 0.0713573   |     1 |          60 |
|  2 | vars        | Point-Biserial | -0.318002  | 0.045534    |     2 |          60 |
|  3 | vars        | Pearson        | -0.627591  | 1.46166e-05 |     2 |          60 |
|  4 | vars        | Point-Biserial | -0.16977   | 0.194697    |     3 |          60 |
|  5 | vars        | Pearson        | -0.540212  | 8.38841e-06 |     3 |          60 |
|  6 | vars        | Point-Biserial | -0.140311  | 0.214466    |     4 |          60 |
|  7 | vars        | Pearson        | -0.551629  | 1.13709e-07 |     4 |          60 |
|  8 | vars        | Point-Biserial | -0.0720442 | 0.476272    |     5 |          60 |
|  9 | vars        | Pearson        | -0.47659   | 5.37482e-07 |     5 |          60 |
| 10 | vars        | Point-Biserial | -0.145791  | 0.112094    |     6 |          60 |
| 11 | vars        | Pearson        | -0.590415  | 1.27292e-12 |     6 |          60 |
| 12 | vars        | Point-Biserial | -0.140119  | 0.0986968   |     7 |          60 |
| 13 | vars        | Pearson        | -0.546853  | 2.7468e-12  |     7 |          60 |
|  0 | statsmodels | Point-Biserial | -0.243148  | 0.301612    |     1 |          70 |
|  1 | statsmodels | Pearson        | -0.461214  | 0.040674    |     1 |          70 |
|  2 | statsmodels | Point-Biserial | -0.315526  | 0.0473376   |     2 |          70 |
|  3 | statsmodels | Pearson        | -0.62007   | 1.97825e-05 |     2 |          70 |
|  4 | statsmodels | Point-Biserial | -0.225475  | 0.083244    |     3 |          70 |
|  5 | statsmodels | Pearson        | -0.583741  | 9.8052e-07  |     3 |          70 |
|  6 | statsmodels | Point-Biserial | -0.18429   | 0.101746    |     4 |          70 |
|  7 | statsmodels | Pearson        | -0.596273  | 5.3493e-09  |     4 |          70 |
|  8 | statsmodels | Point-Biserial | -0.109613  | 0.277644    |     5 |          70 |
|  9 | statsmodels | Pearson        | -0.533417  | 1.10331e-08 |     5 |          70 |
| 10 | statsmodels | Point-Biserial | -0.174554  | 0.0565466   |     6 |          70 |
| 11 | statsmodels | Pearson        | -0.623796  | 2.72828e-14 |     6 |          70 |
| 12 | statsmodels | Point-Biserial | -0.164242  | 0.0524888   |     7 |          70 |
| 13 | statsmodels | Pearson        | -0.580248  | 5.75753e-14 |     7 |          70 |
|  0 | vars        | Point-Biserial | -0.243148  | 0.301612    |     1 |          70 |
|  1 | vars        | Pearson        | -0.461214  | 0.040674    |     1 |          70 |
|  2 | vars        | Point-Biserial | -0.315526  | 0.0473376   |     2 |          70 |
|  3 | vars        | Pearson        | -0.62007   | 1.97825e-05 |     2 |          70 |
|  4 | vars        | Point-Biserial | -0.225475  | 0.083244    |     3 |          70 |
|  5 | vars        | Pearson        | -0.583741  | 9.8052e-07  |     3 |          70 |
|  6 | vars        | Point-Biserial | -0.18429   | 0.101746    |     4 |          70 |
|  7 | vars        | Pearson        | -0.596273  | 5.3493e-09  |     4 |          70 |
|  8 | vars        | Point-Biserial | -0.109613  | 0.277644    |     5 |          70 |
|  9 | vars        | Pearson        | -0.533417  | 1.10331e-08 |     5 |          70 |
| 10 | vars        | Point-Biserial | -0.174554  | 0.0565466   |     6 |          70 |
| 11 | vars        | Pearson        | -0.623796  | 2.72828e-14 |     6 |          70 |
| 12 | vars        | Point-Biserial | -0.164242  | 0.0524888   |     7 |          70 |
| 13 | vars        | Pearson        | -0.580248  | 5.75753e-14 |     7 |          70 |
|  0 | statsmodels | Point-Biserial | -0.253444  | 0.280953    |     1 |          80 |
|  1 | statsmodels | Pearson        | -0.489413  | 0.0285132   |     1 |          80 |
|  2 | statsmodels | Point-Biserial | -0.314629  | 0.0480046   |     2 |          80 |
|  3 | statsmodels | Pearson        | -0.615332  | 2.38422e-05 |     2 |          80 |
|  4 | statsmodels | Point-Biserial | -0.26431   | 0.041279    |     3 |          80 |
|  5 | statsmodels | Pearson        | -0.602589  | 3.50135e-07 |     3 |          80 |
|  6 | statsmodels | Point-Biserial | -0.220058  | 0.0498325   |     4 |          80 |
|  7 | statsmodels | Pearson        | -0.62535   | 5.60552e-10 |     4 |          80 |
|  8 | statsmodels | Point-Biserial | -0.144058  | 0.152735    |     5 |          80 |
|  9 | statsmodels | Pearson        | -0.579992  | 2.55449e-10 |     5 |          80 |
| 10 | statsmodels | Point-Biserial | -0.198251  | 0.0299621   |     6 |          80 |
| 11 | statsmodels | Pearson        | -0.647001  | 1.42177e-15 |     6 |          80 |
| 12 | statsmodels | Point-Biserial | -0.184472  | 0.0291174   |     7 |          80 |
| 13 | statsmodels | Pearson        | -0.605671  | 2.23e-15    |     7 |          80 |
|  0 | vars        | Point-Biserial | -0.253444  | 0.280953    |     1 |          80 |
|  1 | vars        | Pearson        | -0.489413  | 0.0285132   |     1 |          80 |
|  2 | vars        | Point-Biserial | -0.314629  | 0.0480046   |     2 |          80 |
|  3 | vars        | Pearson        | -0.615332  | 2.38422e-05 |     2 |          80 |
|  4 | vars        | Point-Biserial | -0.26431   | 0.041279    |     3 |          80 |
|  5 | vars        | Pearson        | -0.602589  | 3.50135e-07 |     3 |          80 |
|  6 | vars        | Point-Biserial | -0.220058  | 0.0498325   |     4 |          80 |
|  7 | vars        | Pearson        | -0.62535   | 5.60552e-10 |     4 |          80 |
|  8 | vars        | Point-Biserial | -0.144058  | 0.152735    |     5 |          80 |
|  9 | vars        | Pearson        | -0.579992  | 2.55449e-10 |     5 |          80 |
| 10 | vars        | Point-Biserial | -0.198251  | 0.0299621   |     6 |          80 |
| 11 | vars        | Pearson        | -0.647001  | 1.42177e-15 |     6 |          80 |
| 12 | vars        | Point-Biserial | -0.184472  | 0.0291174   |     7 |          80 |
| 13 | vars        | Pearson        | -0.605671  | 2.23e-15    |     7 |          80 |
|  0 | statsmodels | Point-Biserial | -0.257776  | 0.272529    |     1 |          90 |
|  1 | statsmodels | Pearson        | -0.503964  | 0.0234724   |     1 |          90 |
|  2 | statsmodels | Point-Biserial | -0.314807  | 0.0478716   |     2 |          90 |
|  3 | statsmodels | Pearson        | -0.612628  | 2.64859e-05 |     2 |          90 |
|  4 | statsmodels | Point-Biserial | -0.288851  | 0.0252007   |     3 |          90 |
|  5 | statsmodels | Pearson        | -0.606699  | 2.77232e-07 |     3 |          90 |
|  6 | statsmodels | Point-Biserial | -0.24672   | 0.0273682   |     4 |          90 |
|  7 | statsmodels | Pearson        | -0.641509  | 1.44206e-10 |     4 |          90 |
|  8 | statsmodels | Point-Biserial | -0.173355  | 0.0845559   |     5 |          90 |
|  9 | statsmodels | Pearson        | -0.61491   | 1.00311e-11 |     5 |          90 |
| 10 | statsmodels | Point-Biserial | -0.216843  | 0.0173637   |     6 |          90 |
| 11 | statsmodels | Pearson        | -0.66189   | 1.86088e-16 |     6 |          90 |
| 12 | statsmodels | Point-Biserial | -0.200811  | 0.0173589   |     7 |          90 |
| 13 | statsmodels | Pearson        | -0.624178  | 1.73249e-16 |     7 |          90 |
|  0 | vars        | Point-Biserial | -0.257776  | 0.272529    |     1 |          90 |
|  1 | vars        | Pearson        | -0.503964  | 0.0234724   |     1 |          90 |
|  2 | vars        | Point-Biserial | -0.314807  | 0.0478716   |     2 |          90 |
|  3 | vars        | Pearson        | -0.612628  | 2.64859e-05 |     2 |          90 |
|  4 | vars        | Point-Biserial | -0.288851  | 0.0252007   |     3 |          90 |
|  5 | vars        | Pearson        | -0.606699  | 2.77232e-07 |     3 |          90 |
|  6 | vars        | Point-Biserial | -0.24672   | 0.0273682   |     4 |          90 |
|  7 | vars        | Pearson        | -0.641509  | 1.44206e-10 |     4 |          90 |
|  8 | vars        | Point-Biserial | -0.173355  | 0.0845559   |     5 |          90 |
|  9 | vars        | Pearson        | -0.61491   | 1.00311e-11 |     5 |          90 |
| 10 | vars        | Point-Biserial | -0.216843  | 0.0173637   |     6 |          90 |
| 11 | vars        | Pearson        | -0.66189   | 1.86088e-16 |     6 |          90 |
| 12 | vars        | Point-Biserial | -0.200811  | 0.0173589   |     7 |          90 |
| 13 | vars        | Pearson        | -0.624178  | 1.73249e-16 |     7 |          90 |
|  0 | statsmodels | Point-Biserial | -0.259506  | 0.269211    |     1 |         100 |
|  1 | statsmodels | Pearson        | -0.511492  | 0.0211576   |     1 |         100 |
|  2 | statsmodels | Point-Biserial | -0.315642  | 0.0472518   |     2 |         100 |
|  3 | statsmodels | Pearson        | -0.61129   | 2.78915e-05 |     2 |         100 |
|  4 | statsmodels | Point-Biserial | -0.304041  | 0.0181885   |     3 |         100 |
|  5 | statsmodels | Pearson        | -0.604496  | 3.14311e-07 |     3 |         100 |
|  6 | statsmodels | Point-Biserial | -0.26582   | 0.0171632   |     4 |         100 |
|  7 | statsmodels | Pearson        | -0.649342  | 7.25166e-11 |     4 |         100 |
|  8 | statsmodels | Point-Biserial | -0.197045  | 0.0494153   |     5 |         100 |
|  9 | statsmodels | Pearson        | -0.63945   | 8.03269e-13 |     5 |         100 |
| 10 | statsmodels | Point-Biserial | -0.231085  | 0.011105    |     6 |         100 |
| 11 | statsmodels | Pearson        | -0.670877  | 5.1522e-17  |     6 |         100 |
| 12 | statsmodels | Point-Biserial | -0.213757  | 0.0112154   |     7 |         100 |
| 13 | statsmodels | Pearson        | -0.637321  | 2.53936e-17 |     7 |         100 |
|  0 | vars        | Point-Biserial | -0.259506  | 0.269211    |     1 |         100 |
|  1 | vars        | Pearson        | -0.511492  | 0.0211576   |     1 |         100 |
|  2 | vars        | Point-Biserial | -0.315642  | 0.0472518   |     2 |         100 |
|  3 | vars        | Pearson        | -0.61129   | 2.78915e-05 |     2 |         100 |
|  4 | vars        | Point-Biserial | -0.304041  | 0.0181885   |     3 |         100 |
