+----+-------------+----------------+-----------+-------------+-------+----------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   significance level |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.06 |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.06 |
|  0 | statsmodels | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.07 |
|  1 | statsmodels | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.07 |
|  2 | statsmodels | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.07 |
|  3 | statsmodels | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.07 |
|  4 | statsmodels | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.07 |
|  5 | statsmodels | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.07 |
|  6 | statsmodels | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.07 |
|  7 | statsmodels | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.07 |
|  8 | statsmodels | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.07 |
|  9 | statsmodels | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.07 |
| 10 | statsmodels | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.07 |
| 11 | statsmodels | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.07 |
| 12 | statsmodels | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.07 |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.07 |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.07 |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.07 |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.07 |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.07 |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.07 |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.07 |
|  6 | vars        | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.07 |
|  7 | vars        | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.07 |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.07 |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.07 |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.07 |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.07 |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.07 |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.07 |
|  0 | statsmodels | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.08 |
|  1 | statsmodels | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.08 |
|  2 | statsmodels | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.08 |
|  3 | statsmodels | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.08 |
|  4 | statsmodels | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.08 |
|  5 | statsmodels | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.08 |
|  6 | statsmodels | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.08 |
|  7 | statsmodels | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.08 |
|  8 | statsmodels | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.08 |
|  9 | statsmodels | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.08 |
| 10 | statsmodels | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.08 |
| 11 | statsmodels | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.08 |
| 12 | statsmodels | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.08 |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.08 |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.08 |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.08 |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.08 |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.08 |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.08 |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.08 |
