+----+-----------------+------------+-------+-------------+
|    | Package         |   Accuracy |   Lag |   scale_var |
|  1 | lmtest          |       1    |     2 |           9 |
|  2 | lmtest          |       0.8  |     3 |           9 |
|  3 | lmtest          |       0.75 |     4 |           9 |
|  4 | lmtest          |       0.75 |     5 |           9 |
|  5 | lmtest          |       0.75 |     6 |           9 |
|  6 | lmtest          |       0.75 |     7 |           9 |
|  0 | VLTimeCausality |       1    |     1 |           9 |
|  1 | VLTimeCausality |       1    |     2 |           9 |
|  2 | VLTimeCausality |       0.9  |     3 |           9 |
|  3 | VLTimeCausality |       0.85 |     4 |           9 |
|  4 | VLTimeCausality |       0.85 |     5 |           9 |
|  5 | VLTimeCausality |       0.85 |     6 |           9 |
|  6 | VLTimeCausality |       0.85 |     7 |           9 |
|  0 | NlinTS          |       0.5  |     1 |           9 |
|  1 | NlinTS          |       0.5  |     2 |           9 |
|  2 | NlinTS          |       0.5  |     3 |           9 |
|  3 | NlinTS          |       0.5  |     4 |           9 |
|  4 | NlinTS          |       0.5  |     5 |           9 |
|  5 | NlinTS          |       0.5  |     6 |           9 |
|  6 | NlinTS          |       0.5  |     7 |           9 |
|  0 | statsmodels     |       0.85 |     1 |          11 |
|  1 | statsmodels     |       0.75 |     2 |          11 |
|  2 | statsmodels     |       0.6  |     3 |          11 |
|  3 | statsmodels     |       0.65 |     4 |          11 |
|  4 | statsmodels     |       0.55 |     5 |          11 |
|  5 | statsmodels     |       0.65 |     6 |          11 |
|  6 | statsmodels     |       0.6  |     7 |          11 |
|  0 | vars            |       0.9  |     1 |          11 |
|  1 | vars            |       1    |     2 |          11 |
|  2 | vars            |       0.8  |     3 |          11 |
|  3 | vars            |       0.75 |     4 |          11 |
|  4 | vars            |       0.75 |     5 |          11 |
|  5 | vars            |       0.75 |     6 |          11 |
|  6 | vars            |       0.75 |     7 |          11 |
|  0 | lmtest          |       0.9  |     1 |          11 |
|  1 | lmtest          |       1    |     2 |          11 |
|  2 | lmtest          |       0.8  |     3 |          11 |
|  3 | lmtest          |       0.75 |     4 |          11 |
|  4 | lmtest          |       0.75 |     5 |          11 |
|  5 | lmtest          |       0.75 |     6 |          11 |
|  6 | lmtest          |       0.75 |     7 |          11 |
|  0 | VLTimeCausality |       1    |     1 |          11 |
|  1 | VLTimeCausality |       1    |     2 |          11 |
|  2 | VLTimeCausality |       0.9  |     3 |          11 |
|  3 | VLTimeCausality |       0.85 |     4 |          11 |
|  4 | VLTimeCausality |       0.85 |     5 |          11 |
|  5 | VLTimeCausality |       0.85 |     6 |          11 |
|  6 | VLTimeCausality |       0.85 |     7 |          11 |
|  0 | NlinTS          |       0.5  |     1 |          11 |
|  1 | NlinTS          |       0.5  |     2 |          11 |
|  2 | NlinTS          |       0.5  |     3 |          11 |
|  3 | NlinTS          |       0.5  |     4 |          11 |
|  4 | NlinTS          |       0.5  |     5 |          11 |
|  5 | NlinTS          |       0.5  |     6 |          11 |
|  6 | NlinTS          |       0.5  |     7 |          11 |
|  0 | statsmodels     |       0.85 |     1 |          13 |
|  1 | statsmodels     |       0.75 |     2 |          13 |
|  2 | statsmodels     |       0.6  |     3 |          13 |
|  3 | statsmodels     |       0.65 |     4 |          13 |
|  4 | statsmodels     |       0.55 |     5 |          13 |
|  5 | statsmodels     |       0.65 |     6 |          13 |
|  6 | statsmodels     |       0.6  |     7 |          13 |
|  0 | vars            |       0.9  |     1 |          13 |
