+----+-----------------+------------+-------+------------------+
|    | Package         |   Accuracy |   Lag |   decay_strength |
|  3 | NlinTS          |       0.5  |     4 |          2.55556 |
|  4 | NlinTS          |       0.5  |     5 |          2.55556 |
|  5 | NlinTS          |       0.5  |     6 |          2.55556 |
|  6 | NlinTS          |       0.5  |     7 |          2.55556 |
|  0 | statsmodels     |       0.9  |     1 |          2.77778 |
|  1 | statsmodels     |       0.7  |     2 |          2.77778 |
|  2 | statsmodels     |       0.65 |     3 |          2.77778 |
|  3 | statsmodels     |       0.6  |     4 |          2.77778 |
|  4 | statsmodels     |       0.65 |     5 |          2.77778 |
|  5 | statsmodels     |       0.6  |     6 |          2.77778 |
|  6 | statsmodels     |       0.55 |     7 |          2.77778 |
|  0 | vars            |       0.9  |     1 |          2.77778 |
|  1 | vars            |       0.9  |     2 |          2.77778 |
|  2 | vars            |       0.85 |     3 |          2.77778 |
|  3 | vars            |       0.75 |     4 |          2.77778 |
|  4 | vars            |       0.65 |     5 |          2.77778 |
|  5 | vars            |       0.65 |     6 |          2.77778 |
|  6 | vars            |       0.65 |     7 |          2.77778 |
|  0 | lmtest          |       0.9  |     1 |          2.77778 |
|  1 | lmtest          |       0.9  |     2 |          2.77778 |
|  2 | lmtest          |       0.85 |     3 |          2.77778 |
|  3 | lmtest          |       0.75 |     4 |          2.77778 |
|  4 | lmtest          |       0.65 |     5 |          2.77778 |
|  5 | lmtest          |       0.65 |     6 |          2.77778 |
|  6 | lmtest          |       0.65 |     7 |          2.77778 |
|  0 | VLTimeCausality |       1    |     1 |          2.77778 |
|  1 | VLTimeCausality |       1    |     2 |          2.77778 |
|  2 | VLTimeCausality |       0.9  |     3 |          2.77778 |
|  3 | VLTimeCausality |       0.8  |     4 |          2.77778 |
|  4 | VLTimeCausality |       0.8  |     5 |          2.77778 |
|  5 | VLTimeCausality |       0.8  |     6 |          2.77778 |
|  6 | VLTimeCausality |       0.85 |     7 |          2.77778 |
|  0 | NlinTS          |       0.5  |     1 |          2.77778 |
|  1 | NlinTS          |       0.5  |     2 |          2.77778 |
|  2 | NlinTS          |       0.5  |     3 |          2.77778 |
|  3 | NlinTS          |       0.5  |     4 |          2.77778 |
|  4 | NlinTS          |       0.5  |     5 |          2.77778 |
|  5 | NlinTS          |       0.5  |     6 |          2.77778 |
|  6 | NlinTS          |       0.5  |     7 |          2.77778 |
|  0 | statsmodels     |       0.9  |     1 |          3       |
|  1 | statsmodels     |       0.7  |     2 |          3       |
|  2 | statsmodels     |       0.65 |     3 |          3       |
|  3 | statsmodels     |       0.6  |     4 |          3       |
|  4 | statsmodels     |       0.65 |     5 |          3       |
|  5 | statsmodels     |       0.6  |     6 |          3       |
|  6 | statsmodels     |       0.55 |     7 |          3       |
|  0 | vars            |       0.9  |     1 |          3       |
|  1 | vars            |       0.9  |     2 |          3       |
|  2 | vars            |       0.8  |     3 |          3       |
|  3 | vars            |       0.75 |     4 |          3       |
|  4 | vars            |       0.65 |     5 |          3       |
|  5 | vars            |       0.65 |     6 |          3       |
|  6 | vars            |       0.65 |     7 |          3       |
|  0 | lmtest          |       0.9  |     1 |          3       |
|  1 | lmtest          |       0.9  |     2 |          3       |
|  2 | lmtest          |       0.8  |     3 |          3       |
|  3 | lmtest          |       0.75 |     4 |          3       |
|  4 | lmtest          |       0.65 |     5 |          3       |
|  5 | lmtest          |       0.65 |     6 |          3       |
|  6 | lmtest          |       0.65 |     7 |          3       |
|  0 | VLTimeCausality |       1    |     1 |          3       |
|  1 | VLTimeCausality |       1    |     2 |          3       |
|  2 | VLTimeCausality |       0.85 |     3 |          3       |
|  3 | VLTimeCausality |       0.8  |     4 |          3       |
|  4 | VLTimeCausality |       0.8  |     5 |          3       |
|  5 | VLTimeCausality |       0.8  |     6 |          3       |
|  6 | VLTimeCausality |       0.85 |     7 |          3       |
|  0 | NlinTS          |       0.5  |     1 |          3       |
|  1 | NlinTS          |       0.5  |     2 |          3       |
|  2 | NlinTS          |       0.5  |     3 |          3       |
|  3 | NlinTS          |       0.5  |     4 |          3       |
|  4 | NlinTS          |       0.5  |     5 |          3       |
|  5 | NlinTS          |       0.5  |     6 |          3       |
|  6 | NlinTS          |       0.5  |     7 |          3       |
+----+-----------------+------------+-------+------------------+
