+----+-----------------+----------------+--------------+-------------+-------+------------------+
|    | Package         | Type           |         Corr |           p |   Lag |   decay_strength |
| 11 | NlinTS          | Pearson        | -0.0295193   | 0.748928    |     6 |          1.44444 |
| 12 | NlinTS          | Point-Biserial |  0.0657614   | 0.440139    |     7 |          1.44444 |
| 13 | NlinTS          | Pearson        | -0.0872298   | 0.305449    |     7 |          1.44444 |
|  0 | statsmodels     | Point-Biserial | -0.562564    | 0.00981914  |     1 |          1.66667 |
|  1 | statsmodels     | Pearson        | -0.711935    | 0.000429971 |     1 |          1.66667 |
|  2 | statsmodels     | Point-Biserial | -0.341333    | 0.0311204   |     2 |          1.66667 |
|  3 | statsmodels     | Pearson        | -0.354267    | 0.0249079   |     2 |          1.66667 |
|  4 | statsmodels     | Point-Biserial | -0.315201    | 0.0141647   |     3 |          1.66667 |
|  5 | statsmodels     | Pearson        | -0.326618    | 0.0108646   |     3 |          1.66667 |
|  6 | statsmodels     | Point-Biserial | -0.27828     | 0.0124397   |     4 |          1.66667 |
|  7 | statsmodels     | Pearson        | -0.374393    | 0.000623225 |     4 |          1.66667 |
|  8 | statsmodels     | Point-Biserial | -0.282716    | 0.00437194  |     5 |          1.66667 |
|  9 | statsmodels     | Pearson        | -0.323365    | 0.00103208  |     5 |          1.66667 |
| 10 | statsmodels     | Point-Biserial | -0.259015    | 0.00428217  |     6 |          1.66667 |
| 11 | statsmodels     | Pearson        | -0.310204    | 0.000564727 |     6 |          1.66667 |
| 12 | statsmodels     | Point-Biserial | -0.234292    | 0.00533274  |     7 |          1.66667 |
| 13 | statsmodels     | Pearson        | -0.247042    | 0.00325481  |     7 |          1.66667 |
|  0 | vars            | Point-Biserial | -0.565902    | 0.00929981  |     1 |          1.66667 |
|  1 | vars            | Pearson        | -0.730051    | 0.000257961 |     1 |          1.66667 |
|  2 | vars            | Point-Biserial | -0.364913    | 0.0206016   |     2 |          1.66667 |
|  3 | vars            | Pearson        | -0.531561    | 0.000416202 |     2 |          1.66667 |
|  4 | vars            | Point-Biserial | -0.285447    | 0.0270517   |     3 |          1.66667 |
|  5 | vars            | Pearson        | -0.477863    | 0.000112825 |     3 |          1.66667 |
|  6 | vars            | Point-Biserial | -0.253891    | 0.0230562   |     4 |          1.66667 |
