+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
|  5 | vars        | Pearson        | -0.499111 | 4.92259e-05 |     3 |          1.66667 |
|  6 | vars        | Point-Biserial | -0.247479 | 0.0268815   |     4 |          1.66667 |
|  7 | vars        | Pearson        | -0.498357 | 2.54812e-06 |     4 |          1.66667 |
|  8 | vars        | Point-Biserial | -0.227403 | 0.0228856   |     5 |          1.66667 |
|  9 | vars        | Pearson        | -0.49921  | 1.24473e-07 |     5 |          1.66667 |
| 10 | vars        | Point-Biserial | -0.211969 | 0.0201161   |     6 |          1.66667 |
| 11 | vars        | Pearson        | -0.500277 | 5.95335e-09 |     6 |          1.66667 |
| 12 | vars        | Point-Biserial | -0.200179 | 0.0177225   |     7 |          1.66667 |
| 13 | vars        | Pearson        | -0.493239 | 5.96115e-10 |     7 |          1.66667 |
|  0 | statsmodels | Point-Biserial | -0.390874 | 0.088372    |     1 |          1.88889 |
|  1 | statsmodels | Pearson        | -0.542903 | 0.0133779   |     1 |          1.88889 |
|  2 | statsmodels | Point-Biserial | -0.307475 | 0.0536041   |     2 |          1.88889 |
|  3 | statsmodels | Pearson        | -0.508773 | 0.000801419 |     2 |          1.88889 |
|  4 | statsmodels | Point-Biserial | -0.261707 | 0.0433952   |     3 |          1.88889 |
|  5 | statsmodels | Pearson        | -0.498521 | 5.0411e-05  |     3 |          1.88889 |
|  6 | statsmodels | Point-Biserial | -0.232628 | 0.0378456   |     4 |          1.88889 |
|  7 | statsmodels | Pearson        | -0.497591 | 2.6546e-06  |     4 |          1.88889 |
|  8 | statsmodels | Point-Biserial | -0.211824 | 0.0343719   |     5 |          1.88889 |
|  9 | statsmodels | Pearson        | -0.49842  | 1.31239e-07 |     5 |          1.88889 |
| 10 | statsmodels | Point-Biserial | -0.196108 | 0.0318206   |     6 |          1.88889 |
| 11 | statsmodels | Pearson        | -0.498736 | 6.73882e-09 |     6 |          1.88889 |
| 12 | statsmodels | Point-Biserial | -0.184612 | 0.028993    |     7 |          1.88889 |
| 13 | statsmodels | Pearson        | -0.490384 | 7.73972e-10 |     7 |          1.88889 |
|  0 | vars        | Point-Biserial | -0.390874 | 0.088372    |     1 |          1.88889 |
|  1 | vars        | Pearson        | -0.542903 | 0.0133779   |     1 |          1.88889 |
|  2 | vars        | Point-Biserial | -0.307475 | 0.0536041   |     2 |          1.88889 |
|  3 | vars        | Pearson        | -0.508773 | 0.000801419 |     2 |          1.88889 |
|  4 | vars        | Point-Biserial | -0.261707 | 0.0433952   |     3 |          1.88889 |
|  5 | vars        | Pearson        | -0.498521 | 5.0411e-05  |     3 |          1.88889 |
|  6 | vars        | Point-Biserial | -0.232628 | 0.0378456   |     4 |          1.88889 |
|  7 | vars        | Pearson        | -0.497591 | 2.6546e-06  |     4 |          1.88889 |
|  8 | vars        | Point-Biserial | -0.211824 | 0.0343719   |     5 |          1.88889 |
|  9 | vars        | Pearson        | -0.49842  | 1.31239e-07 |     5 |          1.88889 |
